name,type,location,feelings,ailments,url,image,flavor,thc,cbd
707 Headband,Sativa,"California, U.S.","Creative, Euphoric, Happy, Motivated","ADHD, Arthritis, Asthma, Back Pain, Fibromyalgia, Headaches, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain",https://www.marijuana.com/strains/707-headband/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/707_headband_strain_review-351x185.jpg,Pine,69,44
9 LB Hammer,Indica,Washington,"Happy, Relaxed, Sleepy","Back Pain, Insomnia, Neck Pain, PTSD",https://www.marijuana.com/strains/9-lb-hammer/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/02/9lbhammer_5039-351x185.jpg,Citrus,62,70
Abusive OG,Indica,Unknown,"Anxious, Aroused, Sleepy","HIV, Nausea, RLS",https://www.marijuana.com/strains/abusive-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/abusive-351x185.jpg,"Earthy, Sweet",89,22
Acapulco Gold,Sativa, Mexico,"Hungry, Lazy, Sleepy",Appetite,https://www.marijuana.com/strains/acapulco-gold/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/acapulco-image-351x185.jpg,"Earthy, Sweet, Berry",85,34
Ace of Spades,Indica,"Pacific Northwest, U.S.","Creative, Happy, Inspired, Relaxed","Anxiety, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain, PTSD",https://www.marijuana.com/strains/ace-of-spades/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/ace-of-spades_3393_2_-351x185.jpg,"Earthy, Berry",28,9
Afghan Goo,Indica,Unknown,"Euphoric, Happy, Relaxed","Anxiety, Arthritis, Depression",https://www.marijuana.com/strains/afghan-goo/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346265811812open_uri20110724_4713_ofb6o5_jpg_leader-351x185.jpg,"Sweet, Vanilla",98,41
Afghan Haze,Hybrid, Afghanistan,"Happy, Hungry, Inspired","Anxiety, Appetite, Depression",https://www.marijuana.com/strains/afghan-hazes/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/Screen-Shot-2014-06-05-at-4.59.45-PM-351x185.png,Earthy,26,88
Afghan Kush,Indica,Unknown,"Euphoric, Happy, Hungry, Lazy, Relaxed, Sleepy","ADHD, Anxiety, Appetite, Insomnia",https://www.marijuana.com/strains/afghan-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266185712open_uri20111028_11987_ku1dn5_jpg_leader-351x185.jpg,Earthy,9,80
Afghan Skunk,Indica,Unknown,"Creative, Energetic","ADHD, Cachexia, PTSD",https://www.marijuana.com/strains/afghan-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/afghan-skunk-351x185.jpg,"Earthy, Pepper",57,35
Afgooey,Indica,Unknown,"Euphoric, Inspired, Relaxed, Sleepy","Anxiety, Arthritis, Back Pain, Glaucoma, Headaches, Insomnia, Neck Pain",https://www.marijuana.com/strains/afgooey/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266593085open_uri20110716_19794_1om5iko_jpg_leader-351x185.jpg,"Sweet, Earthy",52,18
Afwreck,Hybrid,Unknown,"Alert, Attentive, Creative, Euphoric, Inspired","ADHD, Anxiety",https://www.marijuana.com/strains/afwreck/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266783496open_uri20110823_31806_6kk27n_jpg_leader-351x185.jpg,"Earthy, Pine",20,24
Agent Orange,Hybrid,Unknown,"Anxious, Giggly, Lazy","Back Pain, Migraines, Seizures",https://www.marijuana.com/strains/agent-orange/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/agent-orange-351x185.jpg,Earthy,82,26
AK-47,Sativa,Unknown,"Creative, Energetic, Euphoric, Hungry, Sociable","Arthritis, Back Pain, Depression, Headaches, Insomnia, Nausea, Neck Pain",https://www.marijuana.com/strains/ak-47/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/134611652172000000000_0000_0000_0000_00000000064D_jpeg_leader-351x185.jpeg,"Earthy, Citrus",60,16
AK-48,Indica,Unknown,"Hungry, Relaxed","Anxiety, Appetite",https://www.marijuana.com/strains/ak-48/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346122395041open_uri20110809_28216_uafvl6_leader-351x185.jpg,"Earthy, Sweet, Berry",8,50
Alaskan Thunderfuck,Hybrid,Unkown,"Attentive, Creative, Hungry, Motivated, Relaxed","ADD, ADHD, Back Pain, Neck Pain",https://www.marijuana.com/strains/alaskan-thunderfuck/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346123051173open_uri20110716_19794_1krab7v_jpeg_leader-351x185.jpeg,"Sweet, Pine, Earthy",7,82
Albert Walker,Hybrid,"Pudget Sound, Washington","Euphoric, Giggly, Happy","Appetite, Epilepsy, Neck Pain",https://www.marijuana.com/strains/albert-walker/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/albert-walker-351x185.jpg,"Sweet, Lemon, Lime",40,43
Alien OG,Hybrid,Unknown,"Aroused, Attentive, Energetic, Happy, Relaxed","Arthritis, Back Pain, Muscle Spasms, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/alien-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346267135033Image47_jpg_leader-351x185.jpg,Earthy,84,36
Amnesia Haze,Sativa,Unknown,"Anxious, Energetic, Euphoric","Cachexia, Headaches",https://www.marijuana.com/strains/amnesia-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/amnesia-haze-351x185.jpg,"Citrus, Lemon, Earthy",85,53
Apollo 13,Indica,Unknown,"Aroused, Inspired, Motivated","Cachexia, Psychosis",https://www.marijuana.com/strains/apollo-13/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/apollo-13-cover-351x185.jpeg,"Earthy, Pine",98,87
